,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6109,32878091,STUDIO NEUF et CALME à Saint-aubin de médoc,59920060,Isabelle,Saint-Aubin-de-Mdoc,Saint-Aubin-de-Mdoc,44.91748,-0.71928,Entire home/apt,42,5,14,2019-07-19,0.54,1,313
6110,32893800,Appartement cosy avec place de parking gratuite,247465279,Aurélie,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.834790000000005,-0.60142,Entire home/apt,39,2,36,2020-01-04,1.29,1,0
6111,32894471,Old city free parking private room with nice view,136442580,Sylvain,Bordeaux,Centre ville (Bordeaux),44.838359999999994,-0.57139,Private room,60,1,47,2019-11-26,1.87,2,96
6112,32910076,Charmant Studio au Coeur du Vieux Bordeaux,5269043,Susan & Michel,Bordeaux,Centre ville (Bordeaux),44.83576,-0.57003,Entire home/apt,65,2,58,2020-08-01,2.26,1,199
6113,32911015,Maison familiale Bordeaux Meriadeck,14781451,Elodie,Bordeaux,Centre ville (Bordeaux),44.83938,-0.58917,Entire home/apt,191,3,4,2021-06-07,0.25,1,147
6114,32919141,Grande Maison proche Bordeaux & Route des Vins,231861450,Romain,Blanquefort,Blanquefort,44.93626,-0.64623,Entire home/apt,108,5,3,2020-08-09,0.13,1,3
6115,32926084,Beautiful 3 bedroom flat with terrace and parking,247734375,Christophe,Bordeaux,Centre ville (Bordeaux),44.836859999999994,-0.58162,Entire home/apt,174,2,29,2020-08-19,1.07,1,8
6116,32927914,Charming  familial house near Gare Saint-Jean,1388847,Julien Et Olivia,Bordeaux,Bordeaux Sud,44.825759999999995,-0.56214,Entire home/apt,135,5,7,2019-08-15,0.3,1,78
6117,32933083,Appart Cosy & moderne au cœur de Bordeaux Caudéran,9305821,Mehdi,Bordeaux,Caudran,44.8643,-0.62697,Entire home/apt,70,3,13,2019-12-19,0.65,1,68
6118,32945526,Une cabane cosy climatisée à Talence,3515074,Guilaine,Talence,Talence,44.80604,-0.58309,Entire home/apt,56,1,180,2019-09-13,6.42,2,33
6119,32947285,Appartement avec loggia privative,31902112,Léna,Bordeaux,Bordeaux Maritime,44.869890000000005,-0.5544100000000001,Entire home/apt,70,3,16,2020-08-10,0.65,1,0
6120,32950541,Studio Saint Michel,247955330,Nicolas,Bordeaux,Bordeaux Sud,44.83384,-0.5663199999999999,Entire home/apt,38,3,41,2019-08-03,1.51,1,0
6121,32952636,Studio 25m2  à 10 min du tram,247978553,Naomi,Pessac,Saige,44.78915,-0.63635,Entire home/apt,48,1,1,2019-08-08,0.04,1,0
6122,32953383,Close to Bordeaux: Queen size bed + wifi + netflix,214550151,Jerome Et Catherine,Villenave-d'Ornon,Villenave-d'Ornon,44.77373,-0.53895,Private room,81,1,86,2020-09-19,4.31,1,34
6123,32958732,Appartement T2 47m2,248034736,Justine,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85954,-0.5879300000000001,Entire home/apt,50,1,4,2019-04-12,0.14,1,0
6124,32959063,Bel appartement 3 pièces à Bordeaux,121395015,Maxime,Bordeaux,Centre ville (Bordeaux),44.84973,-0.5904699999999999,Entire home/apt,100,3,46,2019-10-06,1.92,1,70
6125,32960603,"Nice appartment between Bordeaux, seaside,wineyard",48153389,Sylvie,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.89602,-0.71622,Entire home/apt,69,1,41,2019-09-29,1.49,8,164
6126,32960966,Maison jardin Bordeaux  tram A-1min aéroport 15min,73595145,Ida,Merignac,Arlac,44.82488,-0.61658,Entire home/apt,180,8,6,2020-08-07,0.22,1,8
6127,32970207,Séjour unique dans un hôtel particulier,25683158,Marie,Bordeaux,La Bastide,44.84394,-0.55171,Entire home/apt,395,2,11,2019-07-23,0.43,1,90
6128,32971981,Charmante maison d'artiste avec jardin,106003598,Isabelle,Bordeaux,Centre ville (Bordeaux),44.84535,-0.58508,Entire home/apt,200,1,37,2021-03-19,1.46,1,134
6129,32972578,Maison  à 15 mn du centre ville de Bordeaux,77407082,Valérie,Villenave-d'Ornon,Villenave-d'Ornon,44.78902,-0.57065,Entire home/apt,98,6,13,2020-07-31,0.49,1,267
6130,32984107,Villa contemporaine avec piscine,44185856,Mathieu,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.885290000000005,-0.70225,Entire home/apt,250,7,1,2020-08-22,0.09,1,0
6131,32984188,Clos Saint Medard  App 1ch Centre Parking Wifi,48153389,Sylvie,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.89499,-0.72042,Entire home/apt,69,1,37,2021-06-10,1.36,8,172
6132,32984976,Studio Cosy proche Bordeaux centre,143919086,Salomé,Merignac,La Glacire,44.828790000000005,-0.6202300000000001,Entire home/apt,46,1,21,2019-05-20,0.76,1,0
6133,32990734,"Chambre bordeaux,salle de bain ,wc, indépendante.",80297423,Rayane,Bordeaux,Centre ville (Bordeaux),44.83979,-0.58092,Private room,31,1,72,2019-10-31,3.24,2,75
6134,33003676,"Neuf T2 à 5min du Pont de Pierre, parking gratuit",248393127,Olga,Bordeaux,La Bastide,44.842490000000005,-0.56062,Entire home/apt,70,1,88,2019-09-18,3.11,1,189
6135,33008480,Charmant studio indépendant dans maison en pierre,80411108,Julie,Talence,Talence,44.81808,-0.5848300000000001,Entire home/apt,39,3,116,2019-10-29,4.33,1,6
6136,33008630,"Grande maison très lumineuse, calme, proche centre",498152,Marion,Merignac,La Glacire,44.83314,-0.61637,Entire home/apt,120,3,3,2020-08-13,0.13,1,65
6137,33008896,Appart indépendant clim T2 50m2 Proche commodités,24214701,Sylvain,Villenave-d'Ornon,Villenave-d'Ornon,44.76211,-0.55877,Entire home/apt,55,2,27,2020-09-08,1.13,1,292
6138,33009180,Apparemment 42m2 au cœur de Bordeaux !,51476619,Marion,Bordeaux,Bordeaux Sud,44.828309999999995,-0.5724899999999999,Entire home/apt,50,1,49,2019-08-23,1.73,1,0
6140,33015480,Chambre hôte pour deux personnes dans une maison,248481851,Bety,Merignac,Les Eyquems,44.8287,-0.6534,Private room,150,1,2,2019-06-11,0.07,3,90
6141,33015588,Echoppe Bordelaise au calme,46965953,Emma,Talence,Talence,44.81966,-0.5927899999999999,Entire home/apt,90,4,4,2019-06-10,0.16,1,8
6143,33039297,"Appartement 87m2 avec terrasse de 45m2, 2 chambres",47772710,Flavien,Floirac,Floirac,44.82685,-0.52735,Entire home/apt,71,2,13,2019-10-24,0.64,1,0
6146,33056649,Joli appartement T2 avec balcon,182910363,Pauline,Cenon,Gambetta-Mairie-Lissandre,44.856640000000006,-0.5363,Entire home/apt,57,2,17,2020-09-20,0.92,1,0
6147,33060427,Appartement à 15 min du centre-ville (Bus 4),35468807,Zakaria,Talence,Talence,44.81638,-0.6019100000000001,Entire home/apt,65,6,14,2019-06-23,0.55,1,22
6148,33062639,Lovely room in the center of Bordeaux <3,45528542,Yasmine,Bordeaux,Centre ville (Bordeaux),44.84068,-0.57153,Private room,55,1,8,2019-05-19,0.29,1,86
6149,33073738,Chambre inimitable,82857979,Brigitte,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83109,-0.60792,Shared room,45,2,4,2021-06-18,0.18,1,356
6150,33103068,Central Hostel Bordeaux - Lit en dortoir de 8 pers,249163363,Justine - Central Hostel,Bordeaux,Centre ville (Bordeaux),44.83854,-0.57429,Shared room,32,1,67,2019-07-31,3.2,8,362
6151,33107512,"Bordeaux centre à 15 mn, Grand T2 duplex neuf",71251642,Jenny,Villenave-d'Ornon,Villenave-d'Ornon,44.79565,-0.57215,Entire home/apt,55,3,51,2019-07-05,1.82,1,12
6152,33107916,Luminous house near Bordeaux,291032298,Luckey,Villenave-d'Ornon,Villenave-d'Ornon,44.79059,-0.56998,Entire home/apt,79,3,17,2019-04-07,0.62,45,327
6153,33111286,"Maison en pierre aux portes du Médoc, La mouline",122900796,Bertrand,Le Taillan-Mdoc,Le Taillan-Mdoc,44.91122,-0.66033,Entire home/apt,375,7,4,2019-08-25,0.17,1,0
6155,33123509,Studio avec petit jardin proche du tram,249352971,Emilie,Talence,Talence,44.81505,-0.5919800000000001,Entire home/apt,35,3,7,2019-05-23,0.26,1,0
6156,33127287,"Maison de charme avec piscine, au calme",35058569,Aline,Pessac,Chiquet-Fontaudin,44.80182,-0.62273,Entire home/apt,150,7,1,2019-08-10,0.04,1,190
6157,33129617,Appartement 50m² - Pont de pierre,7710638,Antoine,Bordeaux,La Bastide,44.83909,-0.5572600000000001,Entire home/apt,70,7,11,2020-03-13,0.4,1,0
6158,33130974,Studio au cœur de la cité bordelaise,249420008,Karine,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.832370000000004,-0.58699,Entire home/apt,35,3,5,2019-07-27,0.19,1,0
6160,33162954,Maison calme et confortable proche Bordeaux centre,88868801,Muriel Et Pascal,Merignac,Arlac,44.824090000000005,-0.62468,Entire home/apt,120,3,29,2019-10-28,1.06,1,312
6161,33184476,Villa bruges centre bordeaux,54028280,David,Bruges,Bruges,44.881009999999996,-0.61459,Entire home/apt,220,2,8,2019-03-20,0.3,2,0
6162,33186076,T1 moderne- A 2 pas des quais Chartrons Bacalan,81809824,"Enzo, Mathis & Christel",Bordeaux,Bordeaux Maritime,44.86206,-0.5595600000000001,Entire home/apt,45,6,10,2019-07-26,0.39,2,216
6163,33193019,T2 cosy à 5 min en tram de l'hyper centre,12725847,Camille,Bordeaux,La Bastide,44.84336,-0.55965,Entire home/apt,55,1,27,2021-03-09,1.03,1,0
6164,33205500,T2 quartier Saint Michel / Sainte Croix,248899873,Hélène,Bordeaux,Bordeaux Sud,44.8315,-0.56275,Entire home/apt,46,2,4,2019-10-28,0.15,1,0
6165,33207717,Chambre privée à louer dans un Jolie appartement.,250032210,Nabil,Bordeaux,La Bastide,44.84383,-0.54735,Private room,31,2,59,2019-04-14,2.14,2,330
6166,33207752,Maison clim piscine  sécurisée tram  bordeaux,91955790,Vincent,Blanquefort,Blanquefort,44.909079999999996,-0.62831,Entire home/apt,260,7,5,2020-08-22,0.21,1,8
6167,33207960,chambre privée à louer  dans un appartement,250032210,Nabil,Bordeaux,La Bastide,44.84564,-0.5473100000000001,Private room,31,2,32,2021-07-04,1.15,2,363
6168,33213739,T3 avec cachet complètement rénové proche quais,30985776,Alexandre,Bordeaux,Bordeaux Maritime,44.85846,-0.5633600000000001,Entire home/apt,80,91,7,2019-12-22,0.27,2,38
6169,33219126,Petit appartement cocon à proximité de Bordeaux,250089377,Claire,Bgles,Bgles,44.80101,-0.54915,Entire home/apt,45,2,20,2020-07-29,0.73,1,158
6171,33222367,Private room in the heart of Bordeaux Chartrons,2420500,Irene,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85223,-0.57191,Private room,55,1,29,2019-07-21,1.05,1,89
6172,33232906,Central Hostel Bordeaux - Lit en dortoir de 6 pers,249163363,Justine - Central Hostel,Bordeaux,Centre ville (Bordeaux),44.838,-0.5744,Shared room,36,1,6,2020-02-19,0.27,8,363
6174,33233949,Studio ensoleillé avec cour et vue sur jardin,45792008,Sylvie,Bordeaux,La Bastide,44.84217,-0.55103,Entire home/apt,66,2,51,2019-05-22,1.84,1,352
6175,33234768,Chambre indépendante avec salle de bain privative,89057312,Clémentine,Floirac,Floirac,44.83381,-0.52899,Private room,36,1,6,2020-09-09,0.26,1,0
6176,33235578,Maison Bordeaux Barrière Judaïque,3670283,Michel,Bordeaux,Centre ville (Bordeaux),44.83717,-0.5983,Entire home/apt,200,2,1,2019-05-17,0.04,1,0
6177,33236005,Appartement agréable  près de tout,190746418,Nadia,Bordeaux,Bordeaux Maritime,44.88473,-0.55384,Entire home/apt,45,1,100,2020-06-08,3.6,2,184
6178,33237016,Appartement de haut standing BORDEAUX CENTRE 90m2,97499438,Anthony,Bordeaux,Bordeaux Sud,44.83447,-0.56766,Entire home/apt,139,3,1,2019-04-07,0.04,1,83
6179,33258256,Appartement lumineux avec balcon hyper centre,40351415,Justine,Bordeaux,Centre ville (Bordeaux),44.842,-0.58013,Entire home/apt,105,2,80,2021-06-24,2.87,1,17
6180,33258610,Appartement lumineux,24515373,Ringo,Bordeaux,Centre ville (Bordeaux),44.83614,-0.5675100000000001,Entire home/apt,65,2,13,2019-06-21,0.47,1,0
6182,33266950,Le gîte urbain de Sophie,35685319,Sophie,Pessac,Arago-La Chataigneraie,44.79371,-0.63338,Entire home/apt,80,1,121,2019-09-10,4.33,2,323
6183,33267903,Charme & Calme en Centre-Ville  Terrasse & Jardin,63741336,Marie,Bordeaux,Nansouty - Saint Gens,44.83032,-0.5791,Private room,46,1,104,2020-01-25,3.82,4,7
6184,33285081,Charmante Maison 160M2 piscine chauffée sécurisée,12904476,Anne,Pessac,Chiquet-Fontaudin,44.80358,-0.6198100000000001,Entire home/apt,250,4,8,2020-08-22,0.34,2,0
6185,33304018,An absolute gem in the heart of Bordeaux!,17485556,Valentine,Bordeaux,Centre ville (Bordeaux),44.83675,-0.57147,Entire home/apt,110,5,28,2019-10-31,1.11,1,116
6186,33307048,Duplex de standing Centre historique de Bordeaux,80863628,Fatima,Bordeaux,Centre ville (Bordeaux),44.83943,-0.57096,Entire home/apt,195,2,40,2019-12-27,1.48,1,286
6187,33307526,Charmant T2 à 5 minutes du centre,16630861,Isabelle,Bordeaux,Caudran,44.838390000000004,-0.59922,Entire home/apt,55,2,6,2020-02-14,0.22,1,0
6188,33307938,Studio indépendant en centre ville proche Bordeaux,47575414,Fabien,Blanquefort,Blanquefort,44.91284,-0.6372800000000001,Entire home/apt,35,15,12,2021-03-27,0.45,1,132
6190,33326671,Charmant appartement au coeur de Bruges,116088461,Salomé,Bruges,Bruges,44.877959999999995,-0.60861,Private room,45,1,8,2020-02-23,0.29,1,0
6191,33340143,Grand studio tout équipé proche de la gare,91809750,Florian,Bgles,Bgles,44.811209999999996,-0.55016,Entire home/apt,32,2,13,2019-04-19,0.47,2,0
6192,33341132,Bel appartement 95m² - Centre-ville - Saint-Michel,250944958,Marc,Bordeaux,Bordeaux Sud,44.83447,-0.56721,Entire home/apt,120,2,29,2020-08-03,1.06,1,0
6194,33344099,Logement Bordeaux hypercentre  Gambetta,80297423,Rayane,Bordeaux,Centre ville (Bordeaux),44.83938,-0.57868,Entire home/apt,45,1,92,2020-01-25,3.39,2,188
6195,33367261,Agréable studio proche du centre ville,251361846,Marie,Bordeaux,Nansouty - Saint Gens,44.82557,-0.57796,Entire home/apt,42,2,16,2020-08-17,0.61,1,0
6196,33381636,Appartement neuf dans une résidence calme,85491957,Lopes,Bruges,Bruges,44.8852,-0.6123,Private room,45,1,3,2019-08-12,0.11,1,0
6197,33381654,Villa de vacances région bordelaise,47488550,Matthias,Merignac,Les Eyquems,44.82358,-0.6561,Entire home/apt,85,7,2,2019-08-25,0.09,2,0
6198,33386635,Grand T2 avec piscine à 5min de Bordeaux,223008999,Marc,Talence,Talence,44.81619,-0.59651,Entire home/apt,78,4,5,2019-07-11,0.21,1,23
6199,33390656,Charmant t1 bis à St Michel,13744306,Philippe,Bordeaux,Bordeaux Sud,44.83462,-0.5679,Entire home/apt,60,3,22,2020-08-23,0.92,1,0
6200,33390988,STUDIO ZEN SOBRE CHIC,21136740,Laurent,Bordeaux,Bordeaux Maritime,44.85795,-0.55879,Entire home/apt,55,2,20,2021-03-16,0.74,1,358
6201,33392946,Lovely apartment (55 m2) in the heart of Bordeaux,251561312,Nancy Et Rash,Bordeaux,Bordeaux Sud,44.83108,-0.5635,Entire home/apt,68,2,43,2019-06-23,1.63,1,0
6202,33396645,Cosy bedroom in house near Bordeaux,24866926,Mathieu,Cenon,Gambetta-Mairie-Lissandre,44.8534,-0.53325,Private room,25,4,2,2019-06-10,0.11,1,0
6203,33408226,Bordeaux Blanquefort appartement idéal pour 4,23338353,Pierre-Jean,Blanquefort,Blanquefort,44.90822,-0.63939,Entire home/apt,49,3,15,2019-08-24,0.55,1,0
6204,33419293,Studio 25m2 rénové pour 2 personnes,142421918,Laurence,Talence,Talence,44.80489,-0.5945699999999999,Entire home/apt,50,2,46,2021-05-23,1.66,2,61
6205,33422152,Entre chartron et jardin public,83473494,María Elena,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.851009999999995,-0.5788800000000001,Entire home/apt,85,2,17,2020-08-07,0.64,1,10
6206,33423233,Logement spacieux calme à 15 mn de Bordeaux centre,91844969,Pierre,Bgles,Bgles,44.80092,-0.56719,Entire home/apt,70,180,15,2019-05-24,0.55,1,364
6207,33439352,Chambre 2 personnes,46911190,Julie,Bgles,Bgles,44.80563,-0.5684,Private room,38,1,4,2021-06-10,0.16,2,115
6208,33450763,❤️ Cité du Vin - 2 Chambres Privées Climatisées,29869543,Marc,Bordeaux,Bordeaux Maritime,44.873940000000005,-0.5534100000000001,Private room,73,1,53,2020-01-10,1.96,7,0
6209,33459528,Bel appartement T2 + terrasse,150550054,Margot,Bordeaux,Caudran,44.84366,-0.62898,Entire home/apt,80,1,22,2019-03-30,0.85,1,128
6210,33460527,Chambre de lumière face Gare Saint-Jean,51225586,Edwin,Bordeaux,Bordeaux Sud,44.82499,-0.5576399999999999,Private room,35,1,32,2019-11-04,1.29,1,0
6211,33461869,T2 très calme et lumineux proche Bordeaux,225366092,Katheleen,Merignac,Capeyron,44.848620000000004,-0.64458,Entire home/apt,35,2,6,2019-06-21,0.22,1,0
6212,33467728,Appart BOULAN T1Bis 28m²,15116567,Virginie,Bordeaux,Centre ville (Bordeaux),44.8377,-0.5807100000000001,Entire home/apt,78,4,7,2019-06-08,0.27,22,94
6213,33469777,Central Hostel Bordeaux - Chambre Double Deluxe,249163363,Justine - Central Hostel,Bordeaux,Centre ville (Bordeaux),44.83876,-0.57444,Private room,141,1,2,2021-06-26,2.0,8,346
6214,33470058,Central Hostel Bordeaux- Chambre Standard Triple,249163363,Justine - Central Hostel,Bordeaux,Centre ville (Bordeaux),44.83876,-0.57444,Private room,130,1,1,2020-10-26,0.12,8,323
6215,33470163,Central Hotel Bordeaux- Chambre Standard Quadruple,249163363,Justine - Central Hostel,Bordeaux,Centre ville (Bordeaux),44.83876,-0.57444,Private room,133,1,2,2021-06-29,0.2,8,322
6217,33482984,Appartement avec grande terrasse aux Chartrons,24910598,Annelise,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.8508,-0.57209,Entire home/apt,50,6,6,2019-05-16,0.22,1,0
6218,33484652,chambre individuelle dans collocation étudiants,79757473,Luc,Bordeaux,Centre ville (Bordeaux),44.839459999999995,-0.59904,Private room,22,360,3,2019-07-27,0.11,2,178
6219,33488270,Appartement très calme avec grand jardin,21175780,Antoine,Bordeaux,Nansouty - Saint Gens,44.82502,-0.57229,Entire home/apt,50,3,5,2019-11-12,0.19,1,0
6220,33489576,Appartement 2 chambres climatisé triangle d’or,6926777,Diane,Bordeaux,Centre ville (Bordeaux),44.84176,-0.57903,Entire home/apt,112,2,35,2021-06-20,1.31,4,326
6221,33503757,Échoppe Bordeaux Cauderan Primerose,12957286,Laure,Bordeaux,Caudran,44.84494,-0.60661,Entire home/apt,70,2,11,2019-06-08,0.41,2,0
6222,33504508,"Appartement + terrasse privative 65m2, hypercentre",54946722,Leslie,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83123,-0.58638,Entire home/apt,60,3,28,2019-05-16,1.04,1,0
6224,33509359,5 min centre de Bordeaux - terrasse - pied du tram,252515234,Benoit,Cenon,Gambetta-Mairie-Lissandre,44.854,-0.53704,Entire home/apt,61,2,87,2019-08-04,3.19,1,146
6225,33511975,Petit studio - Centre Ville,180195730,Leydi,Bordeaux,Bordeaux Sud,44.82974,-0.56692,Entire home/apt,31,2,16,2019-08-01,0.59,1,0
6226,33515071,Golden Triangle Studio,47630405,Nicolas,Bordeaux,Centre ville (Bordeaux),44.836040000000004,-0.5866,Entire home/apt,92,1,7,2021-03-27,0.3,12,2
